Date,Open,High,Low,Adj. Close,Volume
2019-01-02,22.968,22.968,22.334,22.367,805700.0
2019-01-03,22.367,22.568,21.366,21.366,1107500.0
2019-01-04,21.032,21.333,20.565,21.065,1457300.0
2019-01-07,21.366,22.034,21.366,21.566,806060.0
2019-01-08,21.767,21.767,21.299,21.366,558540.0
2019-01-09,21.566,22.067,21.433,22.034,1075730.0
2019-01-10,22.034,22.1,21.7,21.7,410690.0
2019-01-11,21.7,21.9,21.266,21.299,941940.0
2019-01-14,21.299,21.6,20.999,21.299,755920.0
2019-01-15,21.199,21.9,21.199,21.7,580710.0
2019-01-16,21.833,21.867,21.499,21.499,363680.0
2019-01-17,21.499,21.633,21.299,21.333,297560.0
2019-01-18,21.333,21.566,21.132,21.166,509140.0
2019-01-21,21.366,22.267,21.166,21.933,1207560.0
2019-01-22,21.967,22.1,21.833,21.867,563940.0
2019-01-23,21.633,21.933,21.433,21.833,432860.0
2019-01-24,21.733,21.933,21.7,21.7,579540.0
2019-01-25,21.833,21.833,21.366,21.399,570980.0
2019-01-28,21.399,21.6,21.232,21.299,545190.0
2019-01-29,21.299,21.299,21.065,21.166,635890.0
2019-01-30,21.299,21.533,21.099,21.166,429410.0
2019-01-31,21.499,21.499,21.032,21.032,678130.0
2019-02-01,20.999,21.266,20.965,21.099,537050.0
2019-02-11,21.266,21.533,21.232,21.333,631710.0
2019-02-12,21.399,21.833,21.399,21.666,1395780.0
2019-02-13,21.733,21.767,21.533,21.7,1557810.0
2019-02-14,21.7,21.733,21.6,21.633,1018550.0
2019-02-15,21.6,22.568,21.433,22.134,1622530.0
2019-02-18,22.367,22.501,22.167,22.367,955540.0
2019-02-19,22.367,22.534,21.967,21.967,1143130.0
2019-02-20,21.9,23.302,21.8,22.701,2361110.0
2019-02-21,22.868,23.135,22.701,22.868,2157870.0
2019-02-22,22.835,23.169,22.701,22.701,1459730.0
2019-02-25,23.035,23.035,22.501,22.701,1687500.0
2019-02-26,22.501,22.701,22.367,22.434,1409740.0
2019-02-27,22.434,22.668,22.367,22.434,749060.0
2019-02-28,22.434,22.534,21.7,21.7,1793480.0
