Date,Open,High,Low,Adj. Close,Volume
2019-01-02,18.247,18.4,17.964,17.985,459120.0
2019-01-03,18.095,18.095,17.767,17.811,716600.0
2019-01-04,17.723,18.095,17.68,17.942,318570.0
2019-01-07,18.247,18.378,18.16,18.247,408470.0
2019-01-08,18.247,18.335,18.204,18.335,295660.0
2019-01-09,18.378,18.597,18.291,18.509,309040.0
2019-01-10,18.509,18.575,18.4,18.4,207330.0
2019-01-11,18.509,18.575,18.356,18.422,596090.0
2019-01-14,18.466,18.597,18.335,18.553,398400.0
2019-01-15,18.466,18.684,18.466,18.684,339480.0
2019-01-16,18.771,18.771,18.575,18.575,186590.0
2019-01-17,18.553,18.662,18.335,18.335,379770.0
2019-01-18,18.378,18.553,18.335,18.335,227150.0
2019-01-21,18.422,18.684,18.422,18.553,247800.0
2019-01-22,18.553,18.662,18.487,18.487,141480.0
2019-01-23,18.466,18.509,18.4,18.487,193460.0
2019-01-24,18.509,18.597,18.487,18.531,234470.0
2019-01-25,18.509,18.597,18.466,18.509,213470.0
2019-01-28,18.553,18.553,18.378,18.378,216330.0
2019-01-29,18.509,18.553,18.335,18.553,430580.0
2019-01-30,18.553,18.946,18.509,18.858,689260.0
2019-01-31,18.902,18.946,18.728,18.858,517260.0
2019-02-01,18.858,18.858,18.116,18.597,599890.0
2019-02-11,18.771,19.339,18.64,19.273,1000430.0
2019-02-12,19.208,19.47,19.164,19.164,701570.0
2019-02-13,19.208,19.644,19.208,19.448,1125370.0
2019-02-14,19.491,19.601,19.317,19.317,616980.0
2019-02-15,19.317,19.404,19.208,19.295,647230.0
2019-02-18,19.426,19.47,19.251,19.382,306310.0
2019-02-19,19.513,19.71,19.339,19.382,1470880.0
2019-02-20,19.339,19.666,19.339,19.579,499430.0
2019-02-21,19.513,19.601,19.339,19.557,749950.0
2019-02-22,19.557,19.819,19.382,19.732,1243720.0
2019-02-25,19.884,20.168,19.841,19.863,1023660.0
2019-02-26,19.906,19.906,19.644,19.732,663220.0
2019-02-27,19.732,19.841,19.601,19.688,485650.0
