Date,Open,High,Low,Adj. Close,Volume
02-Jan-2019,"""""""11.703""""""","""""""11.693""""""","""""""11.416""""""","""""11.544""""","""""1103106.0"""""
03-Jan-2019,"""""""10.398""""""","""""""11.36""""""","""""""10.267""""""","""""11.11""""","""""1956382.0"""""
04-Jan-2019,"""""""11.07""""""","""""""11.413""""""","""""""11.052""""""","""""11.189""""","""""2771983.0"""""
07-Jan-2019,"""""""11.426""""""","""""""11.402""""""","""""""11.244""""""","""""11.347""""","""""1305819.0"""""
08-Jan-2019,"""""""12.414""""""","""""""12.378""""""","""""""11.235""""""","""""11.268""""","""""846226.0"""""
09-Jan-2019,"""""""11.307""""""","""""""11.567""""""","""""""11.328""""""","""""11.465""""","""""2196358.0"""""
10-Jan-2019,"""""""11.465""""""","""""""11.472""""""","""""""11.394""""""","""""11.426""""","""""1378687.0"""""
11-Jan-2019,"""""""11.465""""""","""""""11.474""""""","""""""11.355""""""","""""11.426""""","""""1250077.0"""""
14-Jan-2019,"""""""11.386""""""","""""""11.4""""""","""""""11.321""""""","""""11.347""""","""""937155.0"""""
15-Jan-2019,"""""""11.149""""""","""""""11.555""""""","""""""10.523""""""","""""11.505""""","""""901146.0"""""
16-Jan-2019,"""""""11.505""""""","""""""11.5""""""","""""""11.304""""""","""""11.386""""","""""509354.0"""""
17-Jan-2019,"""""""11.426""""""","""""""11.48""""""","""""""11.362""""""","""""11.426""""","""""737519.0"""""
18-Jan-2019,"""""""11.465""""""","""""""11.428""""""","""""""11.192""""""","""""11.307""""","""""1412966.0"""""
21-Jan-2019,"""""""11.347""""""","""""""11.932""""""","""""""11.415""""""","""""11.663""""","""""2079830.0"""""
22-Jan-2019,"""""""11.742""""""","""""""11.65""""""","""""""11.376""""""","""""11.505""""","""""1845725.0"""""
23-Jan-2019,"""""""11.465""""""","""""""11.566""""""","""""""11.447""""""","""""11.505""""","""""1160094.0"""""
24-Jan-2019,"""""""11.544""""""","""""""11.644""""""","""""""11.446""""""","""""11.544""""","""""1743450.0"""""
25-Jan-2019,"""""""11.782""""""","""""""11.732""""""","""""""11.456""""""","""""11.544""""","""""836534.0"""""
28-Jan-2019,"""""""11.544""""""","""""""11.547""""""","""""""11.035""""""","""""11.426""""","""""997088.0"""""
29-Jan-2019,"""""""11.386""""""","""""""11.569""""""","""""""11.409""""""","""""11.465""""","""""1091518.0"""""
30-Jan-2019,"""""""12.256""""""","""""""12.256""""""","""""""11.465""""""","""""11.584""""","""""1565464.0"""""
31-Jan-2019,"""""""11.703""""""","""""""11.712""""""","""""""11.515""""""","""""11.624""""","""""1674668.0"""""
01-Feb-2019,"""""""11.624""""""","""""""11.73""""""","""""""11.611""""""","""""11.663""""","""""781100.0"""""
11-Feb-2019,"""""""11.782""""""","""""""12.333""""""","""""""11.815""""""","""""11.94""""","""""1713857.0"""""
12-Feb-2019,"""""""11.94""""""","""""""12.127""""""","""""""11.969""""""","""""12.058""""","""""2059630.0"""""
13-Feb-2019,"""""""12.098""""""","""""""12.145""""""","""""""11.986""""""","""""12.058""""","""""2093177.0"""""
14-Feb-2019,"""""""12.058""""""","""""""11.984""""""","""""""11.827""""""","""""11.9""""","""""1357835.0"""""
