Date,Open,High,Low,Adj. Close,Volume
2019-01-02,12.844,12.978,12.677,12.677,2420340.0
2019-01-03,12.677,12.811,12.043,12.077,5513360.0
2019-01-04,12.043,12.377,11.81,12.244,3804290.0
2019-01-07,12.544,12.544,12.11,12.11,3982660.0
2019-01-08,12.177,12.177,11.877,11.943,5636280.0
2019-01-09,12.01,12.477,11.943,12.244,5954880.0
2019-01-10,12.277,12.777,12.21,12.577,7326460.0
2019-01-11,12.544,12.844,12.477,12.544,4025750.0
2019-01-14,12.41,12.711,12.377,12.544,4808180.0
2019-01-15,12.544,12.744,12.511,12.611,3074470.0
2019-01-16,12.677,12.744,12.41,12.477,3652310.0
2019-01-17,12.477,12.611,12.31,12.31,3172300.0
2019-01-18,12.41,12.41,12.144,12.144,3403750.0
2019-01-21,12.244,12.978,12.21,12.978,11448210.0
2019-01-22,13.144,13.411,12.978,13.044,9145450.0
2019-01-23,12.978,13.378,12.878,13.311,6937940.0
2019-01-24,13.345,13.678,13.278,13.645,8813040.0
2019-01-25,13.611,13.745,13.378,13.478,5976710.0
2019-01-28,13.478,13.645,13.411,13.578,4441160.0
2019-01-29,13.511,13.878,13.411,13.845,6598310.0
2019-01-30,13.845,13.912,13.645,13.645,2573630.0
2019-01-31,13.712,13.778,13.078,13.144,9039900.0
2019-02-01,13.011,13.445,13.011,13.411,3635060.0
2019-02-11,13.745,13.945,13.545,13.812,3647470.0
2019-02-12,13.812,14.179,13.745,13.912,7612990.0
2019-02-13,13.878,14.179,13.845,13.912,7588170.0
2019-02-14,13.945,14.079,13.878,13.912,5036130.0
2019-02-15,13.812,14.079,13.745,13.878,4246880.0
2019-02-18,13.945,14.145,13.878,13.945,6827190.0
2019-02-19,13.912,14.045,13.678,13.678,8892610.0
2019-02-20,13.678,13.945,13.645,13.745,5477410.0
2019-02-21,13.778,13.778,13.545,13.611,7146910.0
2019-02-22,13.611,14.145,13.478,14.079,13187550.0
2019-02-25,14.345,14.412,14.212,14.212,5931030.0
2019-02-26,14.145,14.312,14.012,14.245,6554030.0
2019-02-27,14.312,14.312,14.079,14.112,5029720.0
2019-02-28,14.112,14.179,13.778,13.878,8048820.0
2019-03-01,13.945,13.978,13.778,13.878,4475980.0
2019-03-04,13.945,14.245,13.912,14.145,6800970.0
2019-03-05,14.145,14.479,14.045,14.179,7944430.0
2019-03-06,14.212,14.279,14.079,14.212,3602700.0
2019-03-07,14.345,14.479,14.245,14.345,8034740.0
2019-03-08,14.212,14.345,14.112,14.145,5363050.0
2019-03-11,14.145,14.212,14.012,14.079,3180430.0
2019-03-12,14.212,14.746,14.012,14.746,9098570.0
2019-03-13,14.913,15.18,14.746,15.046,14616340.0
2019-03-14,15.013,15.18,14.913,15.046,4564370.0
2019-03-15,14.879,15.28,14.813,15.146,8573740.0
2019-03-18,15.28,15.647,15.246,15.613,10114160.0
2019-03-19,15.613,15.613,15.313,15.413,7499460.0
2019-03-20,15.28,15.446,15.046,15.346,9015900.0
2019-03-21,15.346,15.413,14.746,14.746,7177690.0
2019-03-22,14.913,15.079,14.712,15.013,6185060.0
2019-03-25,14.679,14.813,14.446,14.779,7191300.0
2019-03-26,14.979,15.113,14.813,14.913,2997150.0
2019-03-27,15.013,15.213,14.879,15.013,3367730.0
2019-03-28,14.879,15.18,14.879,15.113,2594400.0
2019-03-29,15.18,15.213,14.946,14.979,4161570.0
2019-04-01,15.046,15.046,14.779,14.846,2773610.0
2019-04-02,15.013,15.046,14.679,14.679,2530940.0
2019-04-03,14.579,14.646,14.412,14.546,5020300.0
2019-04-04,14.746,14.879,14.479,14.679,2028650.0
2019-04-05,14.746,14.846,14.612,14.612,2353340.0
2019-04-08,14.612,14.879,14.579,14.879,2617240.0
2019-04-09,14.946,15.079,14.779,14.779,3894020.0
2019-04-10,14.612,14.779,14.579,14.612,2240010.0
2019-04-11,14.612,14.846,14.579,14.646,2063740.0
2019-04-12,14.612,14.712,14.579,14.579,1535700.0
2019-04-16,14.412,14.479,14.212,14.379,3150240.0
2019-04-17,14.446,14.579,14.312,14.312,2156930.0
2019-04-18,14.245,14.345,13.945,14.012,3812000.0
2019-04-19,14.112,14.179,13.878,13.878,2009050.0
2019-04-22,13.878,14.012,13.645,13.678,2309880.0
2019-04-23,13.812,14.145,13.678,13.912,2447700.0
2019-04-24,14.079,14.379,14.012,14.279,2446780.0
2019-04-25,14.212,14.279,14.045,14.045,1295490.0
2019-04-26,14.045,14.212,14.012,14.179,1447680.0
2019-05-02,14.212,14.212,13.945,14.012,1919560.0
2019-05-03,13.945,14.112,13.912,13.945,1724730.0
2019-05-06,13.745,13.812,13.578,13.645,2472430.0
2019-05-07,13.678,13.878,13.511,13.611,1493980.0
2019-05-08,13.445,13.645,13.411,13.645,1787060.0
2019-05-09,13.611,13.745,13.378,13.411,1996910.0
2019-05-10,13.478,13.678,13.445,13.545,1696620.0
2019-05-13,13.611,13.912,13.545,13.645,1929660.0
2019-05-14,13.511,13.778,13.511,13.712,2101030.0
2019-05-15,13.778,14.112,13.778,14.112,3676840.0
2019-05-16,14.112,14.245,14.012,14.079,2446250.0
2019-05-17,14.079,14.245,14.012,14.145,2576280.0
2019-05-20,14.145,14.345,14.079,14.245,2854020.0
2019-05-21,14.245,14.345,14.145,14.179,2301740.0
2019-05-22,14.212,14.479,14.179,14.379,4998510.0
2019-05-23,14.345,14.412,14.212,14.345,1878120.0
2019-05-24,14.245,14.345,14.145,14.145,2200020.0
2019-05-27,14.112,14.179,14.012,14.145,1710820.0
2019-05-28,14.145,14.145,13.945,14.012,2024820.0
2019-05-29,13.945,13.978,13.778,13.778,2326330.0
2019-05-30,13.745,13.912,13.678,13.778,1569920.0
2019-05-31,13.845,13.845,13.545,13.545,2022410.0
2019-06-03,13.411,13.578,13.278,13.278,3077110.0
2019-06-04,13.345,13.478,13.278,13.345,2031330.0
2019-06-05,13.545,13.712,13.411,13.411,1915720.0
2019-06-06,13.411,13.578,13.311,13.545,1981740.0
2019-06-07,13.611,13.645,13.545,13.645,1389360.0
2019-06-10,13.812,13.845,13.645,13.678,2476670.0
2019-06-11,13.678,13.712,13.645,13.678,1143400.0
2019-06-12,13.645,13.678,13.511,13.511,1213370.0
2019-06-13,13.478,13.578,13.445,13.445,1334410.0
2019-06-14,13.511,13.745,13.445,13.545,2793720.0
2019-06-17,13.611,13.745,13.578,13.645,2429080.0
2019-06-18,13.678,13.745,13.511,13.511,1778110.0
2019-06-19,13.611,13.678,13.511,13.511,1428770.0
2019-06-20,13.511,14.012,13.478,14.012,5390770.0
2019-06-21,14.145,14.279,13.978,14.279,4663670.0
2019-06-24,14.245,14.345,14.112,14.279,3859260.0
2019-06-25,14.112,14.279,14.045,14.045,3629470.0
2019-06-26,13.978,14.245,13.945,13.945,3109850.0
2019-06-27,13.912,13.945,13.745,13.778,4239030.0
2019-06-28,13.812,13.845,13.011,13.011,4143360.0
2019-07-01,13.645,13.912,13.545,13.912,3636530.0
2019-07-02,14.012,14.112,13.845,13.878,2581680.0
2019-07-03,13.812,14.112,13.778,14.045,4071120.0
2019-07-04,14.112,14.179,13.978,14.112,2421940.0
2019-07-05,14.112,14.312,14.012,14.112,3183640.0
2019-07-08,14.112,14.112,13.845,13.945,3247610.0
2019-07-09,13.945,14.079,13.912,13.978,2437260.0
2019-07-10,14.012,14.212,14.012,14.012,2666090.0
2019-07-11,14.079,14.446,14.079,14.379,5419950.0
2019-07-12,14.412,14.512,14.245,14.312,3416020.0
2019-07-15,14.312,14.412,14.245,14.345,1998860.0
2019-07-16,14.345,14.512,14.345,14.479,5202320.0
2019-07-17,14.546,14.679,14.446,14.612,4406650.0
2019-07-18,14.479,14.612,14.446,14.446,2817020.0
2019-07-19,14.646,14.779,14.546,14.579,6736500.0
2019-07-22,14.579,14.712,14.379,14.412,3295120.0
2019-07-23,14.412,14.512,14.379,14.446,2923250.0
2019-07-24,14.512,14.546,14.179,14.179,3844740.0
2019-07-25,14.179,14.312,14.145,14.179,2757240.0
2019-07-26,14.245,14.279,14.145,14.145,2030860.0
2019-07-29,14.145,14.179,13.878,13.945,2591880.0
2019-07-30,14.079,14.112,13.812,13.812,2545270.0
2019-07-31,13.812,13.912,13.778,13.845,2200930.0
2019-08-01,13.878,13.878,13.545,13.611,2806750.0
2019-08-02,13.478,13.812,13.445,13.578,3314870.0
2019-08-05,13.645,13.645,13.511,13.578,2811330.0
2019-08-06,13.311,13.545,13.311,13.478,3546800.0
2019-08-07,13.478,13.611,13.378,13.478,1426570.0
2019-08-08,13.545,13.645,13.411,13.645,2257320.0
2019-08-09,13.645,13.812,13.578,13.678,2169710.0
2019-08-12,13.678,13.712,13.511,13.578,2294430.0
2019-08-13,13.478,13.745,13.445,13.745,2312360.0
2019-08-14,13.878,13.912,13.678,13.678,2708730.0
2019-08-15,13.411,13.611,13.411,13.611,2300810.0
2019-08-16,13.712,13.878,13.545,13.678,3255150.0
2019-08-19,13.745,13.878,13.678,13.678,1255700.0
2019-08-20,13.678,13.778,13.645,13.745,2188250.0
2019-08-21,13.745,13.978,13.678,13.845,4601730.0
2019-08-22,13.978,13.978,13.745,13.745,1977380.0
2019-08-23,13.745,13.812,13.678,13.678,1872130.0
2019-08-26,13.511,13.611,13.445,13.545,3443430.0
2019-08-27,13.645,13.678,13.478,13.545,1948770.0
2019-08-28,13.545,13.578,13.478,13.511,910800.0
2019-08-29,13.545,13.545,13.411,13.478,972120.0
2019-08-30,13.478,13.578,13.478,13.478,1443900.0
2019-09-03,13.478,13.545,13.311,13.311,1643850.0
2019-09-04,13.345,13.445,13.244,13.345,1681830.0
2019-09-05,13.445,13.478,13.311,13.311,1321560.0
2019-09-06,13.311,13.445,13.278,13.278,1224750.0
2019-09-09,13.278,13.378,13.278,13.311,1119280.0
2019-09-10,13.345,13.378,13.144,13.178,2170690.0
2019-09-11,13.211,13.244,13.144,13.211,1106570.0
2019-09-12,13.244,13.478,13.211,13.445,1076510.0
2019-09-13,13.445,13.945,13.378,13.912,6366050.0
2019-09-16,13.812,14.112,13.812,13.845,3335520.0
2019-09-17,13.778,13.878,13.745,13.845,1413640.0
2019-09-18,13.812,14.079,13.778,13.878,4935270.0
2019-09-19,13.912,14.212,13.912,14.179,4698360.0
2019-09-20,14.179,14.212,14.045,14.079,1829910.0
2019-09-23,14.079,14.179,14.012,14.012,2356580.0
2019-09-24,14.012,14.079,13.845,13.845,3494440.0
2019-09-25,13.812,13.945,13.778,13.878,1672570.0
2019-09-26,13.945,14.112,13.945,14.112,2309330.0
2019-09-27,14.112,14.212,14.112,14.112,2404330.0
2019-09-30,14.179,14.312,14.079,14.112,3543070.0
2019-10-01,14.212,14.212,14.045,14.212,2506360.0
2019-10-02,14.179,14.279,13.978,14.012,2310670.0
2019-10-03,13.912,14.012,13.845,14.012,2030560.0
2019-10-04,14.045,14.045,13.745,13.745,2187870.0
2019-10-07,13.778,13.845,13.712,13.712,1892500.0
2019-10-08,13.745,13.878,13.678,13.845,1145820.0
2019-10-09,13.878,14.312,13.878,14.212,6132090.0
2019-10-10,14.212,14.279,14.112,14.112,2285400.0
2019-10-11,14.112,14.245,14.112,14.112,1561780.0
2019-10-14,14.312,14.646,14.245,14.479,7099870.0
2019-10-15,14.479,14.546,14.412,14.479,2489320.0
2019-10-16,14.579,14.746,14.546,14.612,4123220.0
2019-10-17,14.579,14.679,14.546,14.612,3322020.0
2019-10-18,14.612,14.646,14.345,14.412,2938470.0
2019-10-21,14.345,14.412,14.179,14.179,3510490.0
2019-10-22,14.179,14.412,14.179,14.412,1925300.0
2019-10-23,14.412,14.546,14.245,14.312,1940210.0
2019-10-24,14.345,14.412,14.279,14.345,1579900.0
2019-10-25,14.345,14.679,14.279,14.679,4362760.0
2019-10-28,14.746,14.913,14.679,14.679,3023720.0
2019-10-29,14.746,14.979,14.679,14.712,3264130.0
2019-10-30,14.679,14.913,14.679,14.779,3029000.0
2019-10-31,14.879,14.946,14.679,14.679,2389060.0
2019-11-01,14.612,14.879,14.579,14.879,4250320.0
2019-11-04,14.946,15.18,14.913,14.979,5847460.0
2019-11-05,15.013,15.046,14.946,14.946,2659250.0
2019-11-06,14.946,15.079,14.879,14.879,3253010.0
2019-11-07,14.879,14.946,14.779,14.846,2959680.0
2019-11-08,14.946,15.013,14.846,14.879,2175750.0
2019-11-11,14.913,15.046,14.646,14.646,3877190.0
2019-11-12,14.646,14.779,14.612,14.679,2746490.0
2019-11-13,14.712,14.979,14.412,14.579,8802490.0
2019-11-14,14.546,14.546,14.412,14.412,2281670.0
2019-11-15,14.412,14.612,14.345,14.479,2515020.0
2019-11-18,14.446,14.446,14.279,14.279,5830220.0
2019-11-19,14.312,14.412,14.279,14.345,3701630.0
2019-11-20,14.345,14.379,14.212,14.212,2914790.0
2019-11-21,14.212,14.345,14.112,14.212,4749840.0
2019-11-22,14.279,14.312,13.878,14.079,4060050.0
2019-11-25,14.145,14.145,13.945,14.112,2228300.0
2019-11-26,14.179,14.179,14.045,14.145,2125800.0
2019-11-27,14.145,14.212,14.045,14.045,1670250.0
2019-11-28,14.045,14.045,13.645,13.645,3637750.0
2019-11-29,13.678,13.712,13.511,13.645,3157760.0
2019-12-02,13.611,13.645,13.211,13.211,3939590.0
2019-12-03,13.011,13.345,13.011,13.078,3746930.0
2019-12-04,13.144,13.678,13.044,13.645,3727730.0
2019-12-05,13.678,13.678,13.411,13.411,1382950.0
2019-12-06,13.378,13.578,13.378,13.545,1845310.0
2019-12-09,13.478,13.578,13.445,13.445,2198400.0
2019-12-10,13.478,13.478,13.311,13.378,2293020.0
2019-12-11,13.378,13.445,13.144,13.244,2570270.0
2019-12-12,13.278,13.511,13.278,13.445,1909480.0
2019-12-13,13.511,13.812,13.511,13.745,3962760.0
2019-12-16,13.745,13.745,13.545,13.545,1437460.0
2019-12-17,13.578,13.712,13.511,13.511,1689580.0
2019-12-18,13.478,13.611,13.445,13.445,1746820.0
2019-12-19,13.478,13.545,13.345,13.445,1339070.0
2019-12-20,13.445,13.645,13.411,13.578,1068060.0
2019-12-23,13.611,13.878,13.611,13.712,3308670.0
2019-12-24,13.778,13.778,13.611,13.745,1254620.0
2019-12-25,13.678,13.878,13.678,13.745,1381280.0
2019-12-26,13.745,13.812,13.645,13.745,2075490.0
2019-12-27,13.778,13.778,13.578,13.778,1589060.0
2019-12-30,13.812,14.079,13.778,14.045,4624920.0
2019-12-31,14.112,14.145,13.912,13.945,1742690.0
2020-01-02,13.945,14.512,13.912,14.345,4347610.0
2020-01-03,14.479,14.579,14.179,14.212,3626640.0
2020-01-06,14.145,14.479,14.079,14.245,3173480.0
2020-01-07,14.412,14.579,14.312,14.479,4163600.0
2020-01-08,14.379,14.779,14.212,14.446,9864300.0
2020-01-09,14.579,15.079,14.579,14.979,8592300.0
2020-01-10,15.013,16.014,15.013,15.713,14701830.0
2020-01-13,15.547,16.014,15.48,15.48,5317470.0
2020-01-14,15.513,15.88,15.48,15.68,7040780.0
2020-01-15,15.68,15.813,15.513,15.747,4364850.0
2020-01-16,15.813,16.647,15.78,16.614,8002680.0
2020-01-17,16.814,16.948,16.414,16.647,6412750.0
2020-01-20,16.614,16.881,16.514,16.748,4737420.0
2020-01-21,16.814,17.215,16.748,16.881,6063350.0
2020-01-22,16.881,17.181,16.714,17.081,4747210.0
2020-01-30,16.647,16.914,16.014,16.247,11319200.0
2020-01-31,16.414,16.848,16.281,16.281,11815850.0
2020-02-03,15.68,16.814,15.513,16.781,13869450.0
2020-02-04,16.948,17.949,16.914,17.949,14852770.0
2020-02-05,18.282,18.549,17.715,17.715,11732260.0
2020-02-06,17.815,18.749,17.582,18.516,10566600.0
2020-02-07,18.349,18.449,17.782,17.949,8960350.0
2020-02-10,17.515,18.216,17.482,17.748,6287560.0
2020-02-11,17.949,18.516,17.915,18.516,6762320.0
2020-02-12,18.983,18.983,18.149,18.149,10390830.0
2020-02-13,18.249,18.416,17.682,18.182,9485770.0
2020-02-14,18.249,18.249,17.815,17.882,6108570.0
2020-02-17,17.949,18.049,17.615,17.715,5818090.0
2020-02-18,17.815,18.182,17.748,17.815,7231540.0
2020-02-19,17.882,18.149,17.882,18.015,5895360.0
2020-02-20,18.249,18.482,17.782,17.949,9011120.0
2020-02-21,17.882,17.949,17.115,17.248,12049570.0
2020-02-24,16.748,16.948,16.247,16.281,12317180.0
2020-02-25,16.281,17.415,16.247,17.415,9764100.0
2020-02-26,17.048,17.482,16.948,17.215,6229210.0
2020-02-27,17.181,17.482,17.081,17.482,5524580.0
2020-02-28,17.014,17.381,16.681,17.181,7892390.0
2020-03-02,17.315,17.381,16.948,17.014,4873970.0
2020-03-03,17.482,17.982,17.315,17.648,9514110.0
2020-03-04,17.548,17.648,17.348,17.648,4587660.0
2020-03-05,17.882,17.915,17.448,17.448,5997630.0
2020-03-06,17.215,17.381,16.981,17.215,5353340.0
2020-03-09,16.08,16.481,16.014,16.014,10773760.0
2020-03-10,16.014,16.714,15.446,16.347,11071330.0
2020-03-11,16.547,16.681,15.246,15.48,8522410.0
2020-03-12,14.679,14.946,14.412,14.546,11314020.0
2020-03-13,13.678,14.946,13.545,14.646,10540670.0
2020-03-16,14.646,14.712,13.678,13.678,7506240.0
2020-03-17,13.345,14.145,12.944,14.012,7946050.0
2020-03-18,14.212,14.379,13.978,13.978,6424470.0
2020-03-19,13.678,13.745,13.244,13.411,4724410.0
2020-03-20,13.611,13.678,13.111,13.211,6426820.0
2020-03-23,12.544,12.677,12.31,12.31,6448830.0
2020-03-24,12.31,12.477,11.777,12.21,6361270.0
2020-03-25,12.677,13.044,12.544,13.044,7041040.0
2020-03-26,12.711,13.078,12.544,12.544,5121770.0
2020-03-27,12.677,12.744,12.477,12.677,6261510.0
2020-03-30,11.91,12.01,11.81,11.81,7331160.0
2020-03-31,12.01,12.344,11.076,11.476,6102570.0
2020-04-01,11.343,12.244,11.343,12.21,5514550.0
2020-04-03,12.41,12.677,12.344,12.544,4625590.0
2020-04-06,12.878,13.411,12.677,13.411,10557010.0
2020-04-07,13.478,13.511,13.078,13.244,7256090.0
2020-04-08,12.878,13.345,12.744,13.144,4637260.0
2020-04-09,13.345,13.578,13.211,13.211,7265280.0
2020-04-10,13.211,13.411,12.878,12.978,5700980.0
2020-04-13,12.944,13.345,12.844,13.078,4183300.0
2020-04-14,13.044,13.178,12.544,12.811,7389910.0
2020-04-15,12.811,13.311,12.811,13.244,6758040.0
2020-04-16,13.078,13.278,12.944,13.211,3710320.0
2020-04-17,13.678,13.678,13.345,13.411,8578720.0
2020-04-20,13.545,13.645,13.244,13.244,6291720.0
2020-04-21,13.111,13.178,12.511,12.544,9299890.0
2020-04-22,12.277,13.144,12.277,12.844,6363800.0
2020-04-23,13.011,13.144,12.811,12.811,2950110.0
2020-04-24,12.811,12.878,12.677,12.811,2871100.0
2020-04-27,12.944,12.944,12.577,12.577,4305890.0
2020-04-28,12.577,12.878,12.477,12.711,3942840.0
2020-04-29,12.878,13.345,12.744,13.345,9337270.0
2020-05-04,13.178,13.645,13.044,13.378,7526760.0
